date,tp
21/06/2022,0.000966922
22/06/2022,0.000380145
23/06/2022,0.053942453
24/06/2022,0.024445841
25/06/2022,0.32927477
26/06/2022,0.5667385
27/06/2022,0.07696435
28/06/2022,0.01913441
29/06/2022,0.000931159
30/06/2022,0.007020106
01/07/2022,0.008344621
02/07/2022,0.084444046
03/07/2022,0.39410874
04/07/2022,0.22261865
05/07/2022,0.31527147
06/07/2022,0.35710952
07/07/2022,0.043508712
08/07/2022,0.008726092
09/07/2022,0.004341874
10/07/2022,0.001843787
11/07/2022,0.17135309
12/07/2022,0.020119857
13/07/2022,0.34328043
14/07/2022,0.4361405
